,Nombre municipio
0,BOGOTA
1,BUGA
2,MEDELLIN
3,ITAGUI
4,CARTAGENA
5,NEIVA
6,PALMIRA
7,VILLAVICENCIO
8,RIONEGRO
9,CALI
10,DOSQUEBRADAS
11,CUCUTA
12,MANIZALES
13,SUBACHOQUE
14,SOACHA
15,BARRANQUILLA
16,FLORIDABLANCA
17,ARMENIA
18,PEREIRA
19,CAJICA
20,IBAGUE
21,BUCARAMANGA
22,POPAYAN
23,VITERBO
24,ANAPOIMA
25,ENVIGADO
26,SANTA MARTA
27,CHIA
28,MADRID
29,VILLA DEL ROSARIO
30,CARTAGO
31,YUMBO
32,GUARNE
33,BELLO
34,CALARCA
35,VALLEDUPAR
36,LA DORADA
37,CHINCHINA
38,GUATAPE
39,COTA
40,SABANETA
41,VILLAMARIA
42,TRUJILLO
43,PACHO
44,RETIRO
45,APARTADO
46,CACERES
47,IPIALES
48,LOS PATIOS
49,MOSQUERA
50,LA UNION
51,FUSAGASUGA
52,LA CALERA
53,PALERMO
54,SAN PEDRO
55,DARIEN
56,FUNZA
57,TULUA
58,SOLEDAD
59,EL DOVIO
60,SANTANA
61,FRONTINO
62,TUNJA
63,TOCANCIPA
64,PASTO
65,POLO NUEVO
66,VILLAPINZON
67,MONTEBELLO
68,MONTENEGRO
69,SANTA ROSA DE OSOS
70,TURBACO
71,SINCELEJO
72,LA CEJA
73,SAN FRANCISCO
74,MONTERIA
75,OICATA
76,ARJONA
77,SOPO
78,CIENAGA
79,LA ESTRELLA
80,TUMACO
81,RIOHACHA
82,ZIPAQUIRA
83,PUERTO SANTANDER
84,TOGUI
85,CUMBAL
86,ULLOA
87,SANTANDER DE QUILICHAO
88,SAN ANDRES
89,YOPAL
90,FILANDIA
91,CIRCASIA
92,ANSERMA
93,DON MATIAS
94,CALDAS
95,CHOACHI
96,COCORNA
97,GUACARI
98,TENJO
99,BUENAVENTURA
100,ACACIAS
101,BARRANCABERMEJA
102,SAN JUAN DE RIO SECO
103,ANGOSTURA
104,GUACHENÉ
105,PONEDERA
106,SANTO TOMAS
107,GALAPA
108,CIENAGA DE ORO
109,SANTA ROSA DE CABAL
110,LA TEBAIDA
111,MIRANDA
112,JAMUNDI
113,COPACABANA
114,TENZA
115,GINEBRA
116,ANDALUCIA
117,GARAGOA
118,SANTA SOFIA
119,FACATATIVA
120,CONTADERO
121,CUMBITARA
122,OCAÑA
123,CIMITARRA
124,CONCEPCION
125,CURITI
126,ESPINAL
127,PUERTO COLOMBIA
128,SOCHA
129,TIMBIO
130,SAN DIEGO
131,VILLETA
132,GIRARDOT
133,BUGALAGRANDE
134,UBATE
135,SANTUARIO
136,FLORIDA
137,COGUA
138,SOGAMOSO
139,CERETE
140,TIERRALTA
141,SUESCA
142,AGRADO
143,GIGANTE
144,PITALITO
145,QUIBDO
146,CANDELARIA
147,EL CERRITO
148,YOTOCO
149,ZONA BANANERA
150,BARANOA
151,MALAMBO
152,SAN CRISTOBAL
153,ANDES
154,SAN MARTIN
155,LA VIRGINIA
156,GRANADA
157,SONSON
158,TUQUERRES
159,PUERTO TEJADA
160,EL BANCO
161,BARRANCO DE LOBA
162,LETICIA
163,FLORENCIA
