depa_nombre,muni_nombre,sede_nombre,direccion,telefono,email,naju_nombre,fecha_corte_REPS
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD DEL POBLADO,CALLE 14 # 43B-09,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LLANADITAS,KR 25 # 75C 06 IN 143,5742144845,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SANTO DOMINGO,KR 33 # 107 - 15,5745293164,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CORPORACIÒN MEDICA S.A LTDA- COLMEDICOS S.A,Carrera  51 Nº 53-24,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SERVICIOS MEDICOS SAN IGNACIO S.A.S,Carrera  44 N° 48-51,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SERVICIOS MEDICOS SAN IGNACIO AGUACATALA S.A.S,Carrera  48B N° 16 SUR 38,2161144,calidadsmsi@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,INSTITUTO DEL TORAX S.A.S,CALLE 57 N° 50A - 37,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLINICA EL ROSARIO SEDE EL TESORO,KR 20 # 2 SUR 185,5743269100,clinicaelrosario@clinicaelrosario.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA,CALLE 51 N° 45-93,_,secrepresidencia@soma.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,HOSPITAL PABLO TOBON URIBE,CALLE 78B N° 69-240,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLÍNICA LAS AMERICAS,DIAGONAL 75B N° 2A-80,3421010 Ext. 4512 - 2258,enf.calidad@dos.correolasamericas.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,"HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",Carrera  48 N° 32-102,3847302,jbustamante@hgm.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE ADMINISTRATIVA EDIFICIO SACATIN,KR 50 # 44 - 27 ED SACATIN COLON,5745117505,gerentegeneral@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ,CL 28 # 77-124,5743420381,direccionbelen@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA DE MANRRIQUE HERMENEGILDO DE FEX,CL 66 E # 42 - 51,5745164210,direccionmanrique@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA DOCE DE OCTUBRE LUIS CARLOS GALAN SARMIENTO,CL 101 BB # 78 - 10,5744782800,direccion12deoctubre@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA DE CASTILLA JAIME TOBON ARBELAEZ,KR 65 # 98 - 105,5742675236,direccioncastilla@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN JAVIER,CL 40 # 105 - 103,5742520100,direccionsanjavier@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN CRISTOBAL,CALLE 62D 133 15,427 07 88,direccionsancristobal@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN ANTONIO DE PRADO HOSPITAL DIEGO ECHAVARRIA MISAS,Carrera  79 # 40 Sur 45,2860120,direccionsanantonio@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ALTAVISTA,CL 18 #105-15,5743430832,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD GUAYABAL,CLL 95 SUR # 52-42,5742550606,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD TRINIDAD,CALLE 27 N° 65 D - 49,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD BELEN RINCON,CL 2B # 79 - 100,2 38 80 00,coordinacionbelenrincon,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SALVADOR,Carrera  36 N° 40 A 30,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
