,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical"
USA,"22,132,045",,"374,124 ",,"13,143,317","8,614,604","29,034"
India,"10,414,044",,"150,606 ",,"10,036,722","226,716","8,944"
Brazil,"7,961,673",,"200,498 ",,"7,096,931","664,244","8,318"
Russia,"3,332,142",,"60,457 ",,"2,709,452","562,233","2,300"
UK,"2,889,419",,"78,508 ",,"1,364,821","1,446,090","2,821"
France,"2,727,321",,"66,841 ",,"198,756","2,461,724","2,616"
Turkey,"2,296,102",,"22,264 ",,"2,172,251","101,587","3,201"
Italy,"2,220,361",,"77,291 ",,"1,572,015","571,055","2,587"
Spain,"2,024,904",,"51,675 ",,N/A,N/A,"2,307"
Germany,"1,869,306",,"39,258 ",,"1,474,000","356,048","5,569"
Colombia,"1,737,347",,"45,067 ",,"1,580,285","111,995","3,482"
Argentina,"1,690,006",,"44,122 ",,"1,484,794","161,090","3,559"
Mexico,"1,493,569","+13,734","131,031 ","+1,044","1,127,471","235,067","3,913"
Poland,"1,356,882",,"30,241 ",,"1,095,616","231,025","1,590"
Iran,"1,268,263",,"55,933 ",,"1,050,553","161,777","4,745"
South Africa,"1,170,590",,"31,809 ",,"938,216","200,565",546
Ukraine,"1,099,493",,"19,505 ",,"773,214","306,774",177
Peru,"1,026,690",,"38,049 ",,"964,354","24,287","1,375"
Netherlands,"850,790",,"12,084 ",,N/A,N/A,708
Indonesia,"797,723",,"23,520 ",,"659,437","114,766",
Czechia,"794,740",,"12,621 ",,"649,394","132,725","1,061"
Romania,"658,958",,"16,410 ",,"591,596","50,952","1,106"
Belgium,"655,732",,"19,883 ",,"45,536","590,313",405
Canada,"635,134",,"16,579 ",,"538,267","80,288",847
Chile,"629,176",,"16,913 ",,"593,235","19,028",862
Iraq,"600,755",,"12,869 ",,"551,127","36,759",141
Bangladesh,"519,905",,"7,718 ",,"464,446","47,741",
Pakistan,"497,510","+2,435","10,558 ",+47,"453,828","33,124","2,285"
Sweden,"482,284",,"9,262 ",,N/A,N/A,387
Philippines,"482,083",,"9,356 ",,"449,052","23,675",727
Switzerland,"474,764",,"8,178 ",,"317,600","148,986",389
Israel,"471,048",,"3,552 ",,"402,913","64,583",878
Portugal,"456,533",,"7,472 ",,"355,701","93,360",514
Morocco,"448,678",,"7,645 ",,"420,569","20,464",698
Austria,"374,730",,"6,568 ",,"346,901","21,261",373
